sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,mu_knn_lat,mu_knn_lon,sigma_knn_corrected,mu_mlp_lat,mu_mlp_lon,sigma_mlp,neighbor_ids,neighbor_lats,neighbor_lons,neighbor_distances,potential_outlier,country,original_group_id,political_entity,data_type,publication,group_id,age_bin,nll,raw_sigma_knn,true_x,true_y,pred_x,pred_y,mu_knn_x,mu_knn_y,mu_mlp_x,mu_mlp_y
I14540.AG,50.78911500,0.08235100,50.26402642,5.39347520,1350.000000,380.817234,724.107910,0.78432685,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,817.626099,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval_father.I14541.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.72323229,263.273071,3624.097391,3122.612289,3992.765946,3027.190790,3921.510636,3127.812616,4251.896256,2661.264917
I14541.AG,50.78911500,0.08235100,49.86980408,5.88405286,1350.000000,425.304221,873.695984,0.68601412,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,1054.857544,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.89121347,263.273071,3624.097391,3122.612289,4025.247086,2981.323213,3921.510636,3127.812616,4251.896256,2661.264917
I14542.AG,50.78911500,0.08235100,49.90144973,5.84507769,1350.000000,421.639257,862.674622,0.69388574,UnitedKingdom,1240k,"Rookery Hill (England, Sussex, Bishopstone)",,,1035.626221,,,1559.212280,,,,,false,UnitedKingdom,England_EarlyMedieval.AG,United Kingdom,1240k,GretzingerNature2022,UnitedKingdom,1000-2500 BP,6.87947986,263.273071,3624.097391,3122.612289,4022.646439,2984.995722,3921.510636,3127.812616,4251.896256,2661.264917
I14553.AG,50.81556500,-0.09156500,46.17346388,11.76622747,3807.000000,1015.694551,1352.514893,0.48012263,UnitedKingdom,1240k,"Roedean Crescent (England, Sussex, Brighton)",,,1951.937744,,,1875.821899,,,,,false,UnitedKingdom,England_C_EBA.AG,United Kingdom,1240k,PattersonNature2021,UnitedKingdom,2500-4000 BP,7.49169702,1227.055786,3612.367476,3127.203971,4457.536332,2563.887872,4320.756546,2690.593866,4583.856663,2446.871027
I14585.AG,50.05438500,14.36338700,42.73324509,22.20196722,3850.000000,1009.121647,1330.999512,0.47550979,Czechia,1240k,"Praha-Jinonice (Prague Region, Prague District, Prague-5)",,,1930.181641,,,1837.846436,,,,,false,Czechia,Czechia_EBA_Unetice.AG,Czechia,1240k,PattersonNature2021,Czechia,2500-4000 BP,7.48109504,1145.039429,4633.304771,3002.848283,5318.372391,2261.896967,6135.474198,2047.789301,4577.576912,2456.009760
I14916.AG,35.08583300,26.24777800,47.15668754,11.22149600,3768.000000,1823.948846,1256.775879,0.56586981,Greece,1240k,"Karaviadaina (Crete, Zakros)",,,1670.704102,,,1907.426636,,,,,false,Greece,Greece_Crete_Zakros_BA.AG,Greece,1240k,LazaridisAlpaslanRoodenbergScience2022,Greece,2500-4000 BP,8.18942921,998.547974,5806.172318,1494.169052,4413.699616,2672.222177,4279.068436,2850.940613,4589.185524,2439.270471
I15503.AG,44.73200000,21.23400000,44.70585871,10.46698563,1800.000000,853.503877,871.817749,0.64597338,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,1084.721924,,,1465.236694,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.24979450,552.655701,5208.731415,2469.215946,4358.077912,2399.520288,4434.766877,2240.828180,4218.147599,2689.077249
I15513.AG,44.73200000,21.23400000,42.37590807,8.46629277,1775.000000,1065.777318,751.578125,0.73851985,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,874.566956,,,1469.788330,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.62761176,120.460999,5208.731415,2469.215946,4194.268235,2142.496271,4185.151810,1949.479242,4220.016434,2687.650034
I15518.AG,44.73200000,21.23400000,49.11528661,16.67188529,1688.000000,596.984896,1037.494019,0.51318997,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,1448.260010,,,1486.982544,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.11011208,1020.462524,5208.731415,2469.215946,4807.427445,2911.195684,5358.147904,3128.279566,4226.863785,2682.348154
I15520.AG,44.73200000,21.23400000,46.04969298,15.62908202,1696.000000,462.052315,876.127869,0.65207535,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,1084.972168,,,1485.336548,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,6.91457688,458.142700,5208.731415,2469.215946,4756.720246,2565.019098,5039.774216,2502.148767,4226.224564,2682.849787
I15521.AG,44.73200000,21.23400000,50.02182497,19.82942297,1756.000000,597.433826,736.897339,0.74986106,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,850.974548,,,1473.385376,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,6.93110011,152.844177,5208.731415,2469.215946,5023.062485,3037.066477,5290.455094,3153.998773,4221.478501,2686.529291
I15522.AG,44.73200000,21.23400000,45.69357131,17.55034455,1700.000000,307.935458,721.272400,0.76393700,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,825.221497,,,1484.517578,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,6.67215305,105.678795,5208.731415,2469.215946,4908.765427,2538.819483,5119.775040,2494.235620,4225.905136,2683.099832
I15523.AG,44.73200000,21.23400000,45.57115727,18.08902523,1700.000000,263.831001,643.289124,0.81222326,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,713.786804,,,1484.517578,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,6.55069684,105.678795,5208.731415,2469.215946,4951.927048,2529.699945,5119.775040,2494.235620,4225.905136,2683.099832
I15524.AG,44.73200000,21.23400000,45.62720254,17.84417235,1700.000000,283.901402,679.887268,0.79024941,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,764.812195,,,1484.517578,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,6.60910989,105.678795,5208.731415,2469.215946,4932.285324,2533.850031,5119.775040,2494.235620,4225.905136,2683.099832
I15525.AG,44.73200000,21.23400000,46.19398815,9.17885106,1750.000000,955.990703,1004.014771,0.53637660,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,1370.898193,,,1474.542969,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.36507393,754.063538,5208.731415,2469.215946,4257.540787,2564.895685,4288.307572,2460.070856,4221.945938,2686.169977
I15526.AG,44.73200000,21.23400000,48.03359386,12.12955647,1680.000000,788.933447,904.994324,0.63041574,Serbia,1240k,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",,,1139.809570,,,1488.638062,,,,,false,Serbia,Serbia_Roman.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.18790718,655.660156,5208.731415,2469.215946,4479.873703,2771.180216,4627.827265,2823.553499,4227.502945,2681.844843
I15537.AG,43.64500000,22.26500000,52.70378381,9.55379232,1050.000000,1375.328550,1018.530334,0.60546273,Serbia,1240k,"Timacum-Minus-Kuline (Zaječar District, Knjaževac Municipality, Ravna)",,,1308.971680,,,1621.548584,,,,,false,Serbia,Serbia_EarlyMedieval_Slavic.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.83778040,917.775635,5308.032314,2362.746082,4290.837479,3288.404382,4302.314743,3707.427728,4273.224320,2645.364862
I15540.AG,43.64500000,22.26500000,53.68753214,8.95012669,1026.000000,1479.299026,713.659302,0.80747658,Serbia,1240k,"Timacum-Minus-Kuline (Zaječar District, Knjaževac Municipality, Ravna)",,,794.192871,,,1626.481567,,,,,false,Serbia,Serbia_EarlyMedieval_Slavic.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,8.71873119,114.573921,5308.032314,2362.746082,4251.632279,3398.286798,4246.061386,3578.075006,4274.997635,2644.223734
I15541.AG,43.64500000,22.26500000,52.71716580,9.55425956,1050.000000,1376.300950,1016.719238,0.60686463,Serbia,1240k,"Timacum-Minus-Kuline (Zaječar District, Knjaževac Municipality, Ravna)",,,1305.134033,,,1621.548584,,,,,false,Serbia,Serbia_EarlyMedieval_Slavic.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.84054568,917.775635,5308.032314,2362.746082,4290.878251,3289.893274,4302.314743,3707.427728,4273.224320,2645.364862
I15542.AG,43.64500000,22.26500000,53.07614874,13.42592692,980.000000,1232.648433,902.938354,0.69536436,Serbia,1240k,"Timacum-Minus-Kuline (Zaječar District, Knjaževac Municipality, Ravna)",,,1082.809082,,,1635.941284,,,,,false,Serbia,Serbia_EarlyMedieval_Slavic.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,0-1000 BP,7.73747478,534.756409,5308.032314,2362.746082,4550.518509,3335.163172,4669.735451,3638.808405,4278.392777,2642.059610
I15543.AG,43.64500000,22.26500000,52.52847383,9.54769403,1050.000000,1362.676182,1041.966309,0.58709759,Serbia,1240k,"Timacum-Minus-Kuline (Zaječar District, Knjaževac Municipality, Ravna)",,,1359.873535,,,1621.548584,,,,,false,Serbia,Serbia_EarlyMedieval_Slavic.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.80402608,917.775635,5308.032314,2362.746082,4290.303238,3268.899439,4302.314743,3707.427728,4273.224320,2645.364862
I15549.AG,43.31100000,21.94600000,48.30692382,7.59071279,1598.000000,1242.478156,759.911804,0.74538714,Serbia,1240k,"Medijana (Nišava District, Niš Municipality, Medijana)",,,880.181519,,,1505.993286,,,,,false,Serbia,Serbia_Gepid.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.96986298,166.530273,5288.140935,2321.932993,4142.231217,2802.185930,4110.890519,2845.071901,4233.982132,2676.635935
I15550.AG,43.31100000,21.94600000,48.72452589,9.56630420,1550.000000,1128.069003,954.438965,0.60380322,Serbia,1240k,"Medijana (Nišava District, Niš Municipality, Medijana)",,,1228.288574,,,1516.326294,,,,,false,Serbia,Serbia_Gepid.AG,Serbia,1240k,OlaldeCarrionCell2023,Serbia,1000-2500 BP,7.55958928,873.742249,5288.140935,2321.932993,4289.080216,2845.781591,4322.823441,2958.771204,4237.655655,2673.585611
I15706.AG,40.99833300,19.83250000,45.69248740,7.01980582,320.000000,1160.490182,776.923340,0.80902505,Albania,1240k,Pazhok (Central),,,863.768127,,,1777.828735,,,,,false,Albania,Albania_Pazhok_PostMedieval.AG,Albania,1240k,LazaridisAlpaslanRoodenbergScience2022,Albania,0-1000 BP,7.77091112,367.448395,5149.293946,2042.674970,4088.615342,2513.523523,4033.629349,2490.441370,4321.551834,2611.306177
I15819.AG,49.46635300,17.18535400,49.20813321,19.67876972,7200.000000,183.270605,932.256042,0.33605480,Czechia,1240k,"Kralice-na-Hané (Olomouc Region, Prostějov District, Prostějov)",,,1608.163208,,,1144.113403,,,,,false,Czechia,Czechia_N.AG,Czechia,1240k,PattersonNature2021,Czechia,>6000 BP,6.85693098,986.516113,4840.987977,2953.603915,5024.092087,2945.793688,5449.329361,3531.260126,4808.858902,2649.460748
I15823.AG,50.05438500,14.36338700,45.14188243,32.71580968,5550.000000,1473.430734,1017.366211,0.69035512,Czechia,1240k,"Praha-Jinonice (Prague Region, Prague District, Prague-5)",,,1224.449951,,,1828.290894,,,,,false,Czechia,Czechia_C.AG,Czechia,1240k,PattersonNature2021,Czechia,4000-6000 BP,7.97372933,238.954315,4633.304771,3002.848283,6079.095414,2718.792749,6654.423905,2855.749540,4796.397110,2413.446863
I15824.AG,50.05438500,14.36338700,45.68787331,14.32173506,3900.000000,485.333985,1285.561401,0.48425022,Czechia,1240k,"Praha-Jinonice (Prague Region, Prague District, Prague-5)",,,1847.387207,,,1790.083618,,,,,false,Czechia,Czechia_EBA_Unetice.AG,Czechia,1240k,PattersonNature2021,Czechia,2500-4000 BP,7.23021406,971.081665,4633.304771,3002.848283,4657.908402,2518.138330,4751.714493,2572.061670,4569.831532,2467.508386
I15825.AG,50.05438500,14.36338700,42.63552625,22.49853350,3850.000000,1031.582358,1309.929077,0.49198440,Czechia,1240k,"Praha-Jinonice (Prague Region, Prague District, Prague-5)",,,1867.549438,,,1837.846436,,,,,false,Czechia,Czechia_EBA_Unetice.AG,Czechia,1240k,PattersonNature2021,Czechia,2500-4000 BP,7.48781434,1145.039429,4633.304771,3002.848283,5344.038102,2255.171686,6135.474198,2047.789301,4577.576912,2456.009760
I15826.AG,50.05438500,14.36338700,48.93507907,11.83026917,5505.000000,221.801599,1282.815186,0.51734221,Czechia,1240k,"Praha-Jinonice (Prague Region, Prague District, Prague-5)",,,1783.508423,,,1846.479370,,,,,false,Czechia,Czechia_C.AG,Czechia,1240k,PattersonNature2021,Czechia,4000-6000 BP,7.17175990,1218.821533,4633.304771,3002.848283,4455.122376,2870.761254,4140.776688,3302.028009,4792.057328,2408.503076
I15939.AG,40.62666700,8.32305600,40.62805478,23.03667145,3500.000000,1248.092327,1402.393311,0.52467126,Italy,1240k,"Anghelu Ruju (Sardinia, Sassari province)",,,1936.092896,,,2034.102295,,,,,false,Italy,Italy_Sardinia_MBA_contam.AG,Italy,1240k,FernandesNatureEcologyEvolution2020,Italy,2500-4000 BP,7.64196163,1369.225098,4178.459469,1949.283323,5423.031388,2042.959345,6161.511307,1709.281671,4607.891957,2411.275049
I15940.AG,40.62666700,8.32305600,47.37422806,11.17220139,4203.000000,781.980675,1084.530396,0.47224611,Italy,1240k,"Anghelu Ruju (Sardinia, Sassari province)",,,1578.183594,,,1492.883789,,,,,false,Italy,Italy_Sardinia_N_oAfrica.AG,Italy,1240k,FernandesNatureEcologyEvolution2020,Italy,4000-6000 BP,7.24884563,681.822327,4178.459469,1949.283323,4409.588700,2696.326196,4280.673874,2872.612925,4524.944611,2538.580835
I15941.AG,40.62666700,8.32305600,47.44838692,13.07651310,4196.000000,846.791724,1155.750122,0.40472662,Italy,1240k,"Anghelu Ruju (Sardinia, Sassari province)",,,1816.699341,,,1497.979004,,,,,false,Italy,Italy_Sardinia_N.AG,Italy,1240k,FernandesNatureEcologyEvolution2020,Italy,4000-6000 BP,7.32091278,986.254700,4178.459469,1949.283323,4553.109124,2708.686945,4593.666133,2960.579073,4525.534394,2537.425379
I15942.AG,40.62666700,8.32305600,48.99457359,12.24036409,4297.000000,978.181799,971.004028,0.54753840,Italy,1240k,"Anghelu Ruju (Sardinia, Sassari province)",,,1312.241455,,,1443.544556,,,,,false,Italy,Italy_Sardinia_N.AG,Italy,1240k,FernandesNatureEcologyEvolution2020,Italy,4000-6000 BP,7.38575005,202.861557,4178.459469,1949.283323,4484.967263,2878.203451,4454.413330,3150.396082,4521.941559,2548.814356
I15943.AG,40.62666700,8.32305600,47.41398040,13.68737150,5723.000000,866.737815,1318.197632,0.42024016,Italy,1240k,"Anghelu Ruju (Sardinia, Sassari province)",,,2033.441772,,,1731.236694,,,,,false,Italy,Italy_Sardinia_N.AG,Italy,1240k,FernandesNatureEcologyEvolution2020,Italy,4000-6000 BP,7.40018519,1554.060303,4178.459469,1949.283323,4599.340166,2706.973154,4313.488144,3071.725763,4806.540619,2442.581445
