sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,age_bin,split,nll,sigma_knn_corrected,raw_sigma_knn,sigma_mlp,political_entity,pulldown_strategy,data_type,publication
I5881.AG,48.91422000,33.76493000,47.26516446,16.98952580,7077.000000,1257.862825,569.284241,0.19010422,Ukraine_N.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,8.78543868,1305.669556,42.819103,632.578735,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5883.AG,48.91422000,33.76493000,47.71422463,16.50387235,7048.000000,1281.320372,564.441284,0.18354328,Ukraine_N.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,8.91244183,1317.496704,84.382263,624.672241,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5885.AG,48.91422000,33.76493000,46.46777492,24.11584519,8099.000000,773.099135,992.406860,0.46138948,Ukraine_Mesolithic.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,7.20356480,1461.019165,617.865601,1352.235474,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5886.AG,48.91422000,33.76493000,45.26690822,15.68169882,7212.000000,1427.314400,626.494934,0.23501262,Ukraine_N.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,9.03536064,1292.325562,140.992554,716.292480,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5889.AG,48.91422000,33.76493000,48.01896643,16.10511161,6988.000000,1303.367220,569.112366,0.16254184,Ukraine_N.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,8.96652990,1411.612183,584.899414,621.894104,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5890.AG,48.91422000,33.76493000,47.65335345,16.42426559,7092.000000,1288.673836,585.296570,0.15933186,Ukraine_N.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,8.79595935,1466.306274,375.200134,638.357117,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I5892.AG,48.91422000,33.76493000,47.27854462,14.33539524,7069.000000,1451.685850,586.122620,0.13434039,Ukraine_N.AG,1240k,"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",>6000 BP,test,9.44070240,1599.135254,576.947571,629.962830,Ukraine,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I6677.AG,50.54805600,13.77611100,49.45401015,14.83964598,5550.000000,143.561672,884.971436,0.67717612,Czechia_C_Baalberge.AG,1240k,"Bílina (Ústecký Region, Teplice District)",4000-6000 BP,test,6.79871333,1075.420776,70.908630,1557.565918,Czechia,Native Pulldown on 3.2M snpset,1240k,NarasimhanPattersonScience2019
I6695.AG,50.54805600,13.77611100,41.07255178,30.59181636,4575.000000,1664.059493,884.396118,0.77553600,Czechia_EBA_CordedWare.AG,1240k,"Bílina (Ústecký Region, Teplice District)",4000-6000 BP,test,8.55507127,1004.259216,136.287781,1866.695435,Czechia,Native Pulldown on 3.2M snpset,1240k,NarasimhanPattersonScience2019
I6767.AG,51.28167900,-2.76574600,45.78099298,20.88658253,10280.000000,1839.979721,1331.518677,0.41050223,England_Mesolithic.AG,1240k,"Gough's Cave (England, Somerset, Cheddar)",>6000 BP,test,8.14885156,2078.210449,1214.405884,1734.228027,United Kingdom,Native Pulldown on 3.2M snpset,1240k,BraceDiekmannNatureEcologyEvolution2019
